"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
44.5263157895,-77.5,3.027594,11.278335,700.974872,869.954972
44.5263157895,-80,2.891459,12.15921,771.260641,951.397134
44.5263157895,-82.5,2.410393,8.920408,574.589465,708.932653
44.5263157895,-85,2.325325,9.797152,612.111364,760.08293
44.5263157895,-87.5,1.582496,9.927678,593.696131,740.444069
44.5263157895,-90,1.83266,11.22858,646.955744,821.417954
44.5263157895,-92.5,1.454277,12.48759,732.197802,927.617472
44.5263157895,-95,1.058426,8.86444,480.834806,621.709686
44.5263157895,-97.5,0.994853,7.58679,405.78183,529.45438
46.4210526316,-100,0.765287,6.31259,310.321264,415.544474
46.4210526316,-102.5,0.757656,5.30764,262.2809916,351.5508516
46.4210526316,-105,0.852059,5.115947,244.618584,326.788148
46.4210526316,-107.5,1.000653,5.463352,251.738484,334.095839
46.4210526316,-110,1.112122,8.121891,344.29863,462.21254
46.4210526316,-112.5,1.277379,5.153357,254.630094,328.961168
46.4210526316,-115,1.650294,3.879183,241.317287,300.125743
46.4210526316,-117.5,0.734115,5.059977,220.675919,297.161663
46.4210526316,-120,0.512214,3.615727,163.518014,217.913612
46.4210526316,-122.5,0.512865,5.080902,252.4719959,329.3485939
46.4210526316,-125,0.2714581,1.513306,72.4468666,95.4815426
46.4210526316,-127.5,0.2121002,1.1632816,55.596865,73.189071
46.4210526316,-62.5,1.2676027,4.697947,313.8436623,389.3012473
46.4210526316,-65,1.694655,5.739086,386.474466,475.620202
46.4210526316,-67.5,2.273712,6.864665,467.946508,572.856305
46.4210526316,-70,2.487209,7.451311,518.808774,632.61497
46.4210526316,-72.5,2.73167,8.87402,615.323989,746.750755
46.4210526316,-75,2.389822,8.522522,559.458812,686.482284
46.4210526316,-77.5,2.519812,8.596544,548.267217,676.297354
46.4210526316,-80,4.400315,8.966773,692.901731,823.933059
46.4210526316,-82.5,3.362483,8.257793,590.004646,710.051006
46.4210526316,-85,1.525946,7.254401,418.72553,525.597626
46.4210526316,-87.5,1.305388,7.474008,416.487444,525.513313
46.4210526316,-90,2.299711,6.997112,439.651761,543.896693
46.4210526316,-92.5,1.708287,7.91786,465.022989,587.439909
46.4210526316,-95,1.073729,8.27712,426.979557,556.757347
46.4210526316,-97.5,0.948055,8.34584,405.03642,538.81221
48.3157894737,-100,0.873715,7.22718,321.0125054,435.2052864
48.3157894737,-102.5,0.69386,7.118714,298.3347529,411.4057209
48.3157894737,-105,0.649362,8.22171,325.7079091,452.4788651
48.3157894737,-107.5,0.618666,7.46973,284.6702285,395.6976255
48.3157894737,-110,0.7058032,8.452206,315.8820793,439.0771963
48.3157894737,-112.5,0.891423,5.688917,227.73961,305.450953
48.3157894737,-115,1.252458,3.12028,190.498411,238.334045
48.3157894737,-117.5,0.691203,3.42335,177.6143415,231.7314955
48.3157894737,-120,0.599666,3.250767,158.110944,207.603362
